iter	Passed	Remaining
845	2258	411
846	2261	408
847	2263	405
848	2266	403
849	2268	400
850	2270	397
851	2273	394
852	2275	392
853	2277	389
854	2280	386
855	2282	384
856	2285	381
857	2287	378
858	2289	375
859	2292	373
860	2294	370
861	2296	367
862	2299	365
863	2301	362
864	2303	359
865	2306	356
866	2308	354
867	2311	351
868	2313	348
869	2315	346
870	2318	343
871	2320	340
872	2322	337
873	2325	335
874	2327	332
875	2329	329
876	2332	327
877	2334	324
878	2336	321
879	2339	318
880	2341	316
881	2343	313
882	2346	310
883	2348	308
884	2350	305
885	2353	302
886	2356	300
887	2358	297
888	2360	294
889	2363	292
890	2365	289
891	2367	286
892	2370	284
893	2372	281
894	2374	278
895	2377	275
896	2379	273
897	2381	270
898	2384	267
899	2386	265
900	2389	262
901	2391	259
902	2393	257
903	2396	254
904	2398	251
905	2400	249
906	2403	246
907	2405	243
908	2407	241
909	2410	238
910	2412	235
911	2415	233
912	2417	230
913	2419	227
914	2422	225
915	2424	222
916	2427	219
917	2429	217
918	2431	214
919	2434	211
920	2436	208
921	2438	206
922	2441	203
923	2443	200
924	2446	198
925	2448	195
926	2451	193
927	2453	190
928	2455	187
929	2458	185
930	2460	182
931	2463	179
932	2465	177
933	2467	174
934	2470	171
935	2472	169
936	2474	166
937	2477	163
938	2479	161
939	2482	158
940	2484	155
941	2486	153
942	2489	150
943	2491	147
944	2493	145
945	2496	142
946	2498	139
947	2500	137
948	2503	134
949	2506	131
950	2508	129
951	2511	126
952	2513	123
953	2515	121
954	2518	118
955	2521	116
956	2523	113
957	2526	110
958	2528	108
959	2530	105
960	2533	102
961	2535	100
962	2538	97
963	2540	94
964	2542	92
965	2545	89
966	2547	86
967	2551	84
968	2553	81
969	2556	79
970	2558	76
971	2560	73
972	2563	71
973	2565	68
974	2567	65
975	2570	63
976	2572	60
977	2575	57
978	2577	55
979	2579	52
980	2582	50
981	2584	47
982	2586	44
983	2588	42
984	2591	39
985	2594	36
986	2598	34
987	2600	31
988	2602	28
989	2605	26
990	2607	23
991	2609	21
992	2612	18
993	2614	15
994	2617	13
995	2619	10
996	2621	7
997	2624	5
998	2626	2
999	2628	0
